comuna_name,name,rbd,tipo_establecimiento
QUINTA NORMAL,Escuela Abate Molina - 9991-0,9991-0,Colegio
QUINTA NORMAL,Escuela Angelmó - 9994-5,9994-5,Colegio
QUINTA NORMAL,Escuela Antumalal - 9999-6,9999-6,Colegio
QUINTA NORMAL,Escuela Calicanto - 10000-5,10000-5,Colegio
QUINTA NORMAL,Escuela Diego Portales - 9992-9,9992-9,Colegio
QUINTA NORMAL,Escuela España - 9996-1,9996-1,Colegio
QUINTA NORMAL,Escuela Gil de Castro - 10012-9,10012-9,Colegio
QUINTA NORMAL,Escuela Grenoble - 10005-6,10005-6,Colegio
QUINTA NORMAL,Escuela Inglaterra - 9993-7,9993-7,Colegio
QUINTA NORMAL,Escuela Insigne Gabriela - 9995-3,9995-3,Colegio
QUINTA NORMAL,Escuela Lo Franco - 9998-8,9998-8,Colegio
QUINTA NORMAL,Escuela Membrillar - 10001-3,10001-3,Colegio
QUINTA NORMAL,Escuela Platón - 9987-2,9987-2,Colegio
QUINTA NORMAL,Escuela República de la India - 10006-4,10006-4,Colegio
QUINTA NORMAL,Liceo Guillermo Labarca H. - 9985-6,9985-6,Colegio
QUINTA NORMAL,Liceo Industrial Benjamín Franklin - 11831-1,11831-1,Colegio
QUINTA NORMAL,Liceo Politécnico Capitán de Corbeta Pedro González - 9986-4,9986-4,Colegio
QUINTA NORMAL,Jardin Infantil Ayekan - 13126017,13126017,Junji
QUINTA NORMAL,Jardin Infantil Calicanto - 12126016,12126016,Junji
QUINTA NORMAL,Jardin Infantil Membrillar - 13126015,13126015,Junji
QUINTA NORMAL,Jardín Infantil Rep. de la India - 888292,888292,Junji
QUINTA NORMAL,Sala Cuna Amanda Labarca - 13126014,13126014,Junji
QUINTA NORMAL,Escuela Basica Reino de Noruega - 8564-2,8564-2,Colegio
QUINTA NORMAL,Liceo Polivalente Juan Antonio Rios - 8508-1,8508-1,Colegio
QUINTA NORMAL,Catamarca - 13126019,13126019,Junji
QUINTA NORMAL,Paicavi - 13126008,13126008,Junji
QUINTA NORMAL,Poeta Pedro Prado - 13126007,13126007,Junji
RENCA,ESC. BASICA MONSERRAT ROBERT DE GARCIA - 10216-4,10216-4,Colegio
RENCA,ESCUELA BASICA ISABEL LE BRUN - 10200-8,10200-8,Colegio
RENCA,ESCUELA BASICA LO VELASQUEZ - 12113-4,12113-4,Colegio
RENCA,ESCUELA CAPITAN JOSE LUIS ARANEDA - 10204-0,10204-0,Colegio
RENCA,ESCUELA DOMINGO SANTA MARIA GONZALEZ - 10202-4,10202-4,Colegio
RENCA,ESCUELA GENERAL MANUEL BULNES PRIETO - 10205-9,10205-9,Colegio
RENCA,ESCUELA JUANA ATALA DE HIRMAS - 10212-1,10212-1,Colegio
RENCA,ESCUELA JUANA DE LESTONAC - 10197-4,10197-4,Colegio
RENCA,ESCUELA Nº 1365 R.P. GUSTAVO LE PAIGE - 12243-2,12243-2,Colegio
RENCA,ESCUELA REBECA MATTE BELLO - 10207-5,10207-5,Colegio
RENCA,INSTITUTO CUMBRES DE CONDORES PONIENTE - 31153-7,31153-7,Colegio
RENCA,LICEO GENERAL ALEJANDRO GOROSTIAGA ORREGO - 10210-5,10210-5,Colegio
RENCA,LICEO INSTITUTO CUMBRE DE CONDORES - 31037-9,31037-9,Colegio
RENCA,LICEO THOMAS ALVA EDISON - 10201-6,10201-6,Colegio
RENCA,CUMB VOLCAN NEVADO INCAHUASI - 13128041,13128041,Junji
RENCA,CUMBRE CERRO ACONCAGUA - 13128034,13128034,Junji
RENCA,CUMBRE MONTE EVEREST - 13128035,13128035,Junji
RENCA,CUMBRE MONTE KILIMANJARO - 13128040,13128040,Junji
RENCA,CUMBRE TORRES DEL PAINE - 13128036,13128036,Junji
RENCA,CUMBRE VOLCAN LONQUIMAY - 13128038,13128038,Junji
RENCA,CUMBRE VOLCAN OJOS DEL SALADO - 13128016,13128016,Junji
RENCA,CUMBRE VOLCAN OSORNO - 13128033,13128033,Junji
RENCA,CUMBRE VOLCAN PARINACOTA - 13128042,13128042,Junji
RENCA,CUMBRE VOLCAN VILLARRICA - 13128037,13128037,Junji
